record_id,year,issue,printed_page,page_span,primary_heading,persons_places,content_summary,evidence_status,source_drive_id,source_sha256,source_bytes,pdf_pages,transcription_guard
BL24-1906-11-P01-EDITORIAL,1906,11,1,PDF 1,В С.-Петербурге / visiting preachers and meeting reports,Н. В. Одинцов; В. П. Степанов; Г. А. Бойченко; Балашов; Пески; Ростов-на-Дону; Санкт-Петербург,Редакционная заметка называет трёх приезжих проповедников и сообщает о многочисленных городских собраниях; далее начинается отчёт о воскресном собрании 12 ноября 1906 года в Галерной гавани.,PRIMARY_PAGE_VISUAL_CHECK,1HWiHQiAmgTMWGlRf7JgCIqVuk9MNYU_u,fb9030ad4a1309ab578374731c07180b885488406e46ead566b13d7b837a6554,3681669,8,Имена и происхождение переданы по печатной странице; не превращать редакционную формулу о «многочисленных собраниях» в количественную статистику.
BL24-1906-11-P01-02-ODINTSOV,1906,11,1-2,PDF 1-2,Воскресенье 12 ноября 1906 г. Галерная гавань — проповедь Н. В. Одинцова,Н. В. Одинцов; Галерная гавань; Санкт-Петербург; книга Ионы,"Развёрнутый конспект проповеди по книге Ионы: отказ Ионы, краткая проповедь Ниневии, покаяние города и призыв не откладывать обращение, поскольку «ныне день спасения».",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1HWiHQiAmgTMWGlRf7JgCIqVuk9MNYU_u,fb9030ad4a1309ab578374731c07180b885488406e46ead566b13d7b837a6554,3681669,8,"Это редакционный конспект проповеди, а не стенограмма; прямые цитаты сверять с факсимиле."
BL24-1906-11-P02-BOYCHENKO,1906,11,2,PDF 2,"Среда 15 ноября 1906 г. Морская, 43 — Г. А. Бойченко","Г. А. Бойченко; Морская улица, 43; Санкт-Петербург","По Ин. 9:1-5 евангелизация связывается с делами милосердия: кормлением голодных, лечением больных и практической помощью страдающей России; подчёркнута срочность служения «пока есть день».",PRIMARY_PAGE_VISUAL_CHECK,1HWiHQiAmgTMWGlRf7JgCIqVuk9MNYU_u,fb9030ad4a1309ab578374731c07180b885488406e46ead566b13d7b837a6554,3681669,8,Социальная программа передана как содержание проповеди Бойченко; не приписывать её автоматически всей редакции или организации.
BL24-1906-11-P02-03-STEPANOV,1906,11,2-3,PDF 2-3,"В. П. Степанов — семя, зелень, колос и полное зерно","В. П. Степанов; Морская улица, 43; Санкт-Петербург","По Мк. 4:26-29 описаны три стадии духовного роста — зелень, колос и полное зерно; отдельное внимание уделено заботе о новообращённых и опасности «пустых колосьев».",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1HWiHQiAmgTMWGlRf7JgCIqVuk9MNYU_u,fb9030ad4a1309ab578374731c07180b885488406e46ead566b13d7b837a6554,3681669,8,Это конспект образной проповеди; не превращать три стадии в формальный устав ученичества.
BL24-1906-11-P03-05-IVANOV,1906,11,3-5,PDF 3-5,"Письмо В. В. Иванова из Баку о поездке по Волге, Уфимской губернии и Закавказью",В. В. Иванов; Самара; Давлеканово; Уфимская губерния; Баку; Тифлис; Борисы; Ново-Михайловка; Елисаветпольская губерния,"Автор описывает проповедь на волжском пароходе, собрания в Самаре и Давлеканове, посещение кумысолечебного заведения, возвращение в Баку после гибели старшего сына и поездку из Тифлиса к селениям прыгунов. Сообщаются обращения, крещения и начало молитвенного дома в Баку.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1HWiHQiAmgTMWGlRf7JgCIqVuk9MNYU_u,fb9030ad4a1309ab578374731c07180b885488406e46ead566b13d7b837a6554,3681669,8,Географические формы и числа являются авторским письмом 1906 года; название кумысолечебного заведения и отдельные топонимы требуют authority-check.
BL24-1906-11-P05-KAPRANOVA,1906,11,5,PDF 5,"Письмо А. И. Капрановой из Тифлиса, 11 октября 1906 г.",А. И. Капранова; В. В. Иванов; Борисы; Михайловка; Елисаветпольская губерния; прыгуны; духоборы,"Капранова независимо описывает поездку в Борисы и Михайловку: первоначальную настороженность жителей, отдельное евангельское собрание, семь исповедавших веру, обращение тяжело больного человека и небольшую общину в Михайловке.",PRIMARY_PAGE_VISUAL_CHECK,1HWiHQiAmgTMWGlRf7JgCIqVuk9MNYU_u,fb9030ad4a1309ab578374731c07180b885488406e46ead566b13d7b837a6554,3681669,8,"Числа и конфессиональные названия переданы по письму; не гармонизировать автоматически с соседним письмом Иванова, если детали расходятся."
BL24-1906-11-P06-08-CONGRESS,1906,11,6-8,PDF 6-8,Впечатления от Всероссийского съезда духовных христиан в 1905 г. в Таврической губернии,Таврическая губерния; доктор Лепсиус; духовные христиане,"Материал фиксирует вечернее собрание 5 сентября 1905 года и последовательность проповедей о Стефане, борьбе плоти и духа, Рождестве, сотворении мира и Христе как пути, истине и жизни; завершение собрания датировано приблизительно 10 часами вечера.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,1HWiHQiAmgTMWGlRf7JgCIqVuk9MNYU_u,fb9030ad4a1309ab578374731c07180b885488406e46ead566b13d7b837a6554,3681669,8,Автор материала в видимой части не установлен. Инициалы ряда выступавших не раскрывать без отдельной идентификации.
BL24-1906-11-P08-EDITORIAL,1906,11,8,PDF 8,Редакционные планы: «Юный христианин» и «Братская беседа»,редакция «Братского листка»; молодые христиане,"С нового года редакция намеревалась открыть отдел «Юный христианин» для обмена мыслями и сообщениями молодёжи и отдел «Братская беседа» для вопросов, объяснений и мнений читателей; одновременно заявлено намерение улучшать журнал по мере роста платной подписки.",PRIMARY_PAGE_VISUAL_CHECK,1HWiHQiAmgTMWGlRf7JgCIqVuk9MNYU_u,fb9030ad4a1309ab578374731c07180b885488406e46ead566b13d7b837a6554,3681669,8,"Формулировать как объявленный редакционный план, а не как доказательство фактического регулярного выхода обоих отделов."
BL24-1906-11-P08-SHORTREPORTS,1906,11,8,PDF 8,Краткие сообщения Павзовского и Колесникова,Павзовский; Кубанская область; Колесников; Америка; Россия,Павзовский сообщает о присоединении 22 октября восьми душ и ещё двух ранее отпавших; Колесников из Америки пишет об одновременных молитвенных собраниях с церквами Европы и Америки и призывает молиться о мире для России.,PRIMARY_PAGE_VISUAL_CHECK,1HWiHQiAmgTMWGlRf7JgCIqVuk9MNYU_u,fb9030ad4a1309ab578374731c07180b885488406e46ead566b13d7b837a6554,3681669,8,Первое число читается как авторское сообщение; выражение о двух отпавших передавать осторожно и при цитировании сверять строку факсимиле.
BL24-1906-11-BINARY-VARIANTS,1906,11,1-8,two PDFs compared,Два байтовых варианта одного ноябрьского выпуска,Drive 1HWiHQiAmgTMWGlRf7JgCIqVuk9MNYU_u; Drive 12fiLFs2zgimOFZ4-iWEl_466WOf0gm6X,"Два PDF имеют разные SHA-256 и различаются размером на четыре байта, но render-to-render comparison при 120 dpi дал changed_pages=0 для всех восьми страниц. Они представляют одну печатную сущность и сохраняются только как provenance-варианты.",BINARY_VARIANT_VISUAL_IDENTITY_CONTROL,1HWiHQiAmgTMWGlRf7JgCIqVuk9MNYU_u | 12fiLFs2zgimOFZ4-iWEl_466WOf0gm6X,fb9030ad4a1309ab578374731c07180b885488406e46ead566b13d7b837a6554 | 67c1de40d68ea200c4cc1ea80fa61db6697437d84ad3a9365bad01db1de2bc25,3681669 | 3681665,8 | 8,Не считать варианты двумя выпусками и не создавать две содержательные карты; обе копии сохранять без удаления как provenance.
BL24-1908-11-P01-02-WARNING,1908,11,1-2,PDF 1-2,Слово предостережения,П. Малин; Тамбов,"Аллегория о заклинателе змей, уснувшем рядом с опасными животными: спасение приходит через молоко, отвлёкшее змей. Рассказ превращён в призыв проснуться от греховного сна и обратиться ко Христу. Подписано в Тамбове 21 сентября 1908 года.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,12gLmSul2pxnW6VNxE9TKeN3C8dFWo52r,52fa59375aea18ff7387472c2d05dddc1e0ab775ed27a50df66a28c57aabeffd,6963301,14,Авторская подпись читается как П. Малин; необычную аллегорию не пересказывать как реальное церковное происшествие.
BL24-1908-11-P02-03-KOSHELEV,1908,11,2-3,PDF 2-3,Собрание 8 сентября: покаяние и молитва,А. Кошелев; брат Кильборн; И. С. Проханов; Санкт-Петербург,"Автор сообщает о вечернем собрании с проповедями Кильборна и Проханова; шестнадцать человек сначала просили о прощении, затем ещё двое, и итоговая формула говорит о восемнадцати душах, которых коснулось собрание.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,12gLmSul2pxnW6VNxE9TKeN3C8dFWo52r,52fa59375aea18ff7387472c2d05dddc1e0ab775ed27a50df66a28c57aabeffd,6963301,14,Число 18 — итог авторского свидетельства А. Кошелева. Точное написание места собрания («дом Нобель») цитировать только после сверки строки.
BL24-1908-11-P03-YOUTH-REHNBERG,1908,11,3,PDF 3,Письмо сестры Ренберг Союзу христианской молодёжи,Агнета Ренберг; княжна Ливен; Союз христианской молодёжи; Китай,Редакционная вводка называет Ренберг бывшей воспитанницей приюта госпожи Грундберг и работницей в Китае. В коротком обращении она связывает своё посвящение молодёжному служению с собраниями в доме княжны Ливен.,PRIMARY_PAGE_VISUAL_CHECK,12gLmSul2pxnW6VNxE9TKeN3C8dFWo52r,52fa59375aea18ff7387472c2d05dddc1e0ab775ed27a50df66a28c57aabeffd,6963301,14,Формы Грундберг/Ливен и биографическую связь передавать по странице; не расширять её без person-authority источника.
BL24-1908-11-P03-07-CHINA,1908,11,3-7,PDF 3-7,Письмо Агнеты Ренберг из Китая,Агнета Ренберг; Юшань; Нанкин; Китай; доктор Ю,"Большое письмо описывает летнюю жару, медицинский приём, школьный распорядок, засуху и неурожай, смерть жены старого евангелиста и историю китайского врача Ю, который после обращения стал проповедником. К концу письма названа церковь примерно со 170 членами и просьба молиться о местном евангелисте Донг.",PRIMARY_PAGE_RANGE_VISUAL_CHECK,12gLmSul2pxnW6VNxE9TKeN3C8dFWo52r,52fa59375aea18ff7387472c2d05dddc1e0ab775ed27a50df66a28c57aabeffd,6963301,14,Все миссионерские числа и истории являются письмом Ренберг. Китайские имена и топонимы требуют authority-check; не смешивать с её более поздним письмом в 1909 №10.
