record_id,year,issue,printed_page,page_span,primary_heading,persons_places,content_summary,evidence_status,source_drive_id,source_sha256,source_bytes,pdf_pages,transcription_guard
BL18-1908-05-P01,1908,5,1,1,"Союз христианской молодежи","И. С. Проханов; Ф. М. Троснов; И. С. Егоров; Я. И. Жидков; И. Б. Семенов; Н. И. Федорова; П. С. Капустинская","Masthead states free supplement to Khristianin no. 5, 1908. Announces the Union of Christian Youth formed after the Moscow congress of 13-16 April and names the St Petersburg council.",PRIMARY_FULL_VISUAL_CHECK,1XI0clLxiEZ_syIWA94lZGTlYv3XlEWcO,ed2899b8957158f5638ccd2557ef68467b7f8d408ce63f7f23b1251089c26683,2981326,8,"Modernized spelling in summary; quote only from page image."
BL18-1908-05-P02,1908,5,2,2,"От Совета Союза христианской молодежи","И. С. Проханов; Ф. М. Троснов; И. С. Егоров; Я. И. Жидков; И. Б. Семенов; Н. И. Федорова; П. С. Капустинская","Council appeal asks circles to submit charter projects, corrections and additions; treasury notice records income 19 rubles 15 kopecks, expense 2 rubles 30 kopecks, balance 16 rubles 85 kopecks and expected expense 15 rubles.",PRIMARY_FULL_VISUAL_CHECK,1XI0clLxiEZ_syIWA94lZGTlYv3XlEWcO,ed2899b8957158f5638ccd2557ef68467b7f8d408ce63f7f23b1251089c26683,2981326,8,"Financial figures visually checked; preserve original typography for quotation."
BL18-1908-05-P03,1908,5,3,3,"Отчет 1-го Съезда представителей Кружков юношей и девиц Евангельских христиан и христиан-баптистов","Москва; 13 апреля 1908; Ф. М. Троснов; А. Л. Андреев; Г. Г. Аксенов-Шиканов","Protocol no. 1 opens the five-protocol report; verifies credentials, elects congress officers and admits Kharkov representative P. Ya. Dashko without formal credentials by special decision.",PRIMARY_FULL_VISUAL_CHECK,1XI0clLxiEZ_syIWA94lZGTlYv3XlEWcO,ed2899b8957158f5638ccd2557ef68467b7f8d408ce63f7f23b1251089c26683,2981326,8,"Several participant surnames require palaeographic recheck before a definitive name index."
BL18-1908-05-P04,1908,5,4,4,"Протокол №1 / Протокол №2","Москва; 14 апреля 1908; И. С. Проханов","Completes credential decisions; admits I. S. Egorov with advisory vote and P. I. Malin of Tambov. Protocol no. 2 records the reply to Prokhanov's greeting telegram.",PRIMARY_FULL_VISUAL_CHECK,1XI0clLxiEZ_syIWA94lZGTlYv3XlEWcO,ed2899b8957158f5638ccd2557ef68467b7f8d408ce63f7f23b1251089c26683,2981326,8,"Use page image for exact wording."
BL18-1908-05-P05,1908,5,5,5,"Протокол №2 / Протокол №3","Петербург; Россия","The Petersburg draft charter is rejected as premature. A special council is created as a permanent center connecting youth and maiden circles across Russia; its seat is fixed in St Petersburg and a one-time collection of 3 rubles 25 kopecks is recorded. Protocol no. 3 begins.",PRIMARY_FULL_VISUAL_CHECK,1XI0clLxiEZ_syIWA94lZGTlYv3XlEWcO,ed2899b8957158f5638ccd2557ef68467b7f8d408ce63f7f23b1251089c26683,2981326,8,"Summary is a paraphrase, not a diplomatic transcription."
BL18-1908-05-P06,1908,5,6,6,"Протокол №3 / Протокол №4","Санкт-Петербург","Defines the council's temporary duties: prepare the next congress, answer circle requests, collect material and report through Khristianin; requires a treasury and monthly reporting. Protocol no. 4 establishes a seven-member council including two women.",PRIMARY_FULL_VISUAL_CHECK,1XI0clLxiEZ_syIWA94lZGTlYv3XlEWcO,ed2899b8957158f5638ccd2557ef68467b7f8d408ce63f7f23b1251089c26683,2981326,8,"Exact vote formulas remain on the image."
BL18-1908-05-P07,1908,5,7,7,"Протокол №4 / Протокол №5","И. С. Проханов; Ф. М. Троснов; И. С. Егоров; Я. И. Жидков; И. Б. Семенов; Н. И. Федорова","Records council elections and vote counts; delegates the seventh seat to the St Petersburg maiden circle. Protocol no. 5 opens with thanks to the Orel representatives and congress officers.",PRIMARY_FULL_VISUAL_CHECK,1XI0clLxiEZ_syIWA94lZGTlYv3XlEWcO,ed2899b8957158f5638ccd2557ef68467b7f8d408ce63f7f23b1251089c26683,2981326,8,"Do not normalize individual vote counts without direct image citation."
BL18-1908-05-P08,1908,5,8,8,"Протокол №5","Москва; 16 апреля 1908; типография Ю. А. Мансфельд","Protocols are read and approved; sessions close with common thanksgiving prayer and participant signatures. Printer line identifies Yu. A. Mansfeld, St Petersburg, Gogol Street 9.",PRIMARY_FULL_VISUAL_CHECK,1XI0clLxiEZ_syIWA94lZGTlYv3XlEWcO,ed2899b8957158f5638ccd2557ef68467b7f8d408ce63f7f23b1251089c26683,2981326,8,"Participant signature index requires a separate palaeographic pass."
BL18-1908-08-P01-03,1908,8,1,1-3,"Поездка в Харбин","Алексей Григорьевич Чешев; Благовещенск; Харбин; Сунгари","Masthead states supplement to Khristianin no. 8 and St Petersburg, August 1908. Travel account describes departure from Blagoveshchensk on 16 May, arrival in Harbin on 23 May, Russian and Chinese meetings, interpreted preaching, hymns, river gathering and postponed baptism; signed A. G. Cheshev.",PRIMARY_FULL_VISUAL_CHECK,1SvhLxAFYkcVUQY3pQSoiCe3trae7eaOf,4ad3f6fd5da812dd6699f6cf3016b0f1abce4975b1f7ca36cf844bbc3727d477,5597128,12,"Dates and proper names visually checked; quote from images only."
BL18-1908-08-P03-04,1908,8,3,3-4,"Возлюбленные во Христе братья и сестры","Ив. Кушнеров","Open fraternal appeal on persecution and steadfastness invokes the laws of 17 April 1905 and 17 October 1906, calls for prayer for persecutors and rejects retaliation; signed Ivan Kushnerov.",PRIMARY_FULL_VISUAL_CHECK,1SvhLxAFYkcVUQY3pQSoiCe3trae7eaOf,4ad3f6fd5da812dd6699f6cf3016b0f1abce4975b1f7ca36cf844bbc3727d477,5597128,12,"Paraphrase only until diplomatic transcription is prepared."
