year,month,issue,message_id,export_file,export_drive_url,export_sha256,export_bytes,filename,declared_size,published_at,export_description,anchor_count,hidden_media_attributes,local_files_path,telegram_file_id,status,required_recovery_action
1906,10,10,message4160,messages5.html,https://drive.google.com/file/d/1lq6PUIzUy7OPSYovtkusAmz1tmDTwX-Z/view,540fd2b98e2ca2bc082e0274de6a9666a18eebc006384aa8f6463286f82c59ba,2458080,Братский_Листок_октябрь_1906_года.pdf,10.1 MB,06.10.2025 22:45:42 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
1906,12,12,message4419,messages5.html,https://drive.google.com/file/d/1lq6PUIzUy7OPSYovtkusAmz1tmDTwX-Z/view,540fd2b98e2ca2bc082e0274de6a9666a18eebc006384aa8f6463286f82c59ba,2458080,Братский_Листок_декабрь_1906_года.pdf,12.4 MB,01.12.2025 12:11:08 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
1907,5,5,message3515,messages4.html,https://drive.google.com/file/d/10fn4zQI-kuC5jgUBy0ZIYpcJXZwSS4kd/view,6f908b8ca33dfbb95b503bba1d57c8cfcbd367209075c85310350c289e1d27b0,2610212,Братский_Листок_май_1907_года.pdf,11.6 MB,02.05.2025 10:43:33 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
1907,7,7,message3771,messages4.html,https://drive.google.com/file/d/10fn4zQI-kuC5jgUBy0ZIYpcJXZwSS4kd/view,6f908b8ca33dfbb95b503bba1d57c8cfcbd367209075c85310350c289e1d27b0,2610212,Братский_Листок_июль_1907_года_.pdf,11.3 MB,03.07.2025 08:29:41 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
1907,8,8,message3883,messages4.html,https://drive.google.com/file/d/10fn4zQI-kuC5jgUBy0ZIYpcJXZwSS4kd/view,6f908b8ca33dfbb95b503bba1d57c8cfcbd367209075c85310350c289e1d27b0,2610212,Братский_Листок_август_1907_года.pdf,9.2 MB,02.08.2025 17:15:25 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
1907,10,10,message4163,messages5.html,https://drive.google.com/file/d/1lq6PUIzUy7OPSYovtkusAmz1tmDTwX-Z/view,540fd2b98e2ca2bc082e0274de6a9666a18eebc006384aa8f6463286f82c59ba,2458080,Братский_Листок_октябрь_1907_года.pdf,9.6 MB,07.10.2025 10:20:30 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
1908,7,7,message3775,messages4.html,https://drive.google.com/file/d/10fn4zQI-kuC5jgUBy0ZIYpcJXZwSS4kd/view,6f908b8ca33dfbb95b503bba1d57c8cfcbd367209075c85310350c289e1d27b0,2610212,Братский_Листок_июль_1908_года.pdf,8.5 MB,04.07.2025 08:39:15 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
1908,12,12,message4425,messages5.html,https://drive.google.com/file/d/1lq6PUIzUy7OPSYovtkusAmz1tmDTwX-Z/view,540fd2b98e2ca2bc082e0274de6a9666a18eebc006384aa8f6463286f82c59ba,2458080,Братский_Листок_декабрь_1908_года.pdf,8.4 MB,03.12.2025 13:00:27 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
1909,6,6,message3643,messages4.html,https://drive.google.com/file/d/10fn4zQI-kuC5jgUBy0ZIYpcJXZwSS4kd/view,6f908b8ca33dfbb95b503bba1d57c8cfcbd367209075c85310350c289e1d27b0,2610212,Братский_Листок_июнь_1909_года.pdf,9.4 MB,04.06.2025 12:57:54 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
1909,8,8,message3889,messages4.html,https://drive.google.com/file/d/10fn4zQI-kuC5jgUBy0ZIYpcJXZwSS4kd/view,6f908b8ca33dfbb95b503bba1d57c8cfcbd367209075c85310350c289e1d27b0,2610212,Братский_Листок_август_1909_года.pdf,9.1 MB,06.08.2025 14:56:49 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
1909,11,11,message4306,messages5.html,https://drive.google.com/file/d/1lq6PUIzUy7OPSYovtkusAmz1tmDTwX-Z/view,540fd2b98e2ca2bc082e0274de6a9666a18eebc006384aa8f6463286f82c59ba,2458080,Братский_Листок_ноябрь_1909_года.pdf,10.1 MB,10.11.2025 00:05:09 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
1909,12,12,message4436,messages5.html,https://drive.google.com/file/d/1lq6PUIzUy7OPSYovtkusAmz1tmDTwX-Z/view,540fd2b98e2ca2bc082e0274de6a9666a18eebc006384aa8f6463286f82c59ba,2458080,Братский_Листок_декабрь_1909_года.pdf,9.2 MB,06.12.2025 22:28:34 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
1910,2,2,message3215,messages4.html,https://drive.google.com/file/d/10fn4zQI-kuC5jgUBy0ZIYpcJXZwSS4kd/view,6f908b8ca33dfbb95b503bba1d57c8cfcbd367209075c85310350c289e1d27b0,2610212,Братский_Листок_февраль_1910_года.pdf,11.0 MB,07.02.2025 23:45:32 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
1910,9,9,message4069,messages4.html,https://drive.google.com/file/d/10fn4zQI-kuC5jgUBy0ZIYpcJXZwSS4kd/view,6f908b8ca33dfbb95b503bba1d57c8cfcbd367209075c85310350c289e1d27b0,2610212,Братский_Листок_сентябрь_1910_года.pdf,11.4 MB,10.09.2025 19:36:42 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
1910,10,10,message4210,messages5.html,https://drive.google.com/file/d/1lq6PUIzUy7OPSYovtkusAmz1tmDTwX-Z/view,540fd2b98e2ca2bc082e0274de6a9666a18eebc006384aa8f6463286f82c59ba,2458080,Братский_листок_октябрь_1910_год.pdf,11.4 MB,21.10.2025 15:06:38 UTC+03:00,"Exceeds maximum size, change data exporting settings to download.",0,0,,,METADATA_ONLY_EXPORT_NO_ATTACHMENT_LINK,"Re-export Telegram with Files enabled and maximum size above 12.4 MB; or owner resend; or verified parent extraction. Then record SHA256, bytes, page count, title and last-page visual comparison."
