uploaded_date,series,year,issue,file_name,drive_id,bytes,pages,sha256,status
"2026-07-31","БАПТИСТ","1909","2","Баптист 1909 №02.pdf","1sprvR0V-EAocPkoLeYyPvuKiMKt7mdH_","10111594","24","1aa25e403f6118807ca564f2a3f1f81dc41de424ce8671da3bf7be6f270ad666","VERIFIED; PHYSICALLY IN CANONICAL DRIVE"
"2026-07-31","БАПТИСТ","1909","3","Баптист 1909 №03.pdf","19uPRpCWUIPaF8UgMmU9EAsH2Ej3wQIk-","12023351","28","815ef19fc2c74b24bec200ac08739aa04a4e24fbfb9ec30266cabab75cd394d5","VERIFIED; PHYSICALLY IN CANONICAL DRIVE"
"2026-07-31","БАПТИСТ","1909","4","Баптист 1909 №04.pdf","1XknwMtkRl8K7F1ezvC5S-a39f0RWBx1A","10356065","24","7d8c0c4bc84a2abc6abafe8d6de4457c9ebd45e03b2da437ebff72c46b9f993f","VERIFIED; PHYSICALLY IN CANONICAL DRIVE"
"2026-07-31","БАПТИСТ","1909","5","Баптист 1909 №05.pdf","17nvNddh49NsxUtAUBubUNcXb5Vz5CGPI","9648416","23","adc9c135b5e02237bba102e397452053dc1429365ee54dcc179cdd414857615b","VERIFIED; PHYSICALLY IN CANONICAL DRIVE"
"2026-07-31","БАПТИСТ","1909","6","Баптист 1909 №06.pdf","1oddBO1BKMFf9zjWVpox7TmAOntqG94QD","10528531","24","6f1a9108c3d7ab0805a9d2f239c393f5089f6f05cef2fc8360c7ad752c622bab","VERIFIED; PHYSICALLY IN CANONICAL DRIVE"
"2026-07-31","БАПТИСТ","1909","7","Баптист 1909 №07.pdf","170-25bj_q5V_bLdwY8CKFENkJ2i76A10","10047478","24","f67b41b41c08a694992c912dc627e9ec4bd58280f7a5820b944bdf61eb45e155","VERIFIED; PHYSICALLY IN CANONICAL DRIVE"
"2026-07-31","БАПТИСТ","1909","8","Баптист 1909 №08.pdf","1VJBaybG1GJR0ZkaSYOpCmMlR3-yqZAv3","10187403","24","9e954bdfa4d22322e556aca19e448734e1a4d36c21a46666ac782e1d1abe5374","VERIFIED; PHYSICALLY IN CANONICAL DRIVE"
"2026-07-31","БАПТИСТ","1909","9","Баптист 1909 №09.pdf","1uUdrXe6QS4Hq2JC6m0TPIJwc7LEc_w_0","10726165","24","658171abb55997f40ccaa8c7528b1e3becdbe21bd2de9202daaa06fd96227f8d","VERIFIED; PHYSICALLY IN CANONICAL DRIVE"
"2026-07-31","БАПТИСТ","1909","10","Баптист 1909 №10.pdf","1Rs1-zPXXwA5lVas9j8wter2faqBbBKPF","10757440","24","0269a783eaeae0a5bdc82bbcb1225ed1c051e23edddf22d853de85614e88d387","VERIFIED; PHYSICALLY IN CANONICAL DRIVE"
"2026-07-31","БАПТИСТ","1909","11","Баптист 1909 №11.pdf","1pOyzFgm0NY0A-eBLScb9s9GVEiGVN1rU","9842696","22","0d54f0c2157e76f621bf2fd65137386ae538a792516c473703179bc3127fba73","VERIFIED; PHYSICALLY IN CANONICAL DRIVE"
"2026-07-31","БАПТИСТ","1909","12","Баптист 1909 №12.pdf","1GInBpnKQ423ol1WBLrmuIppdi9nMJrxa","10824355","24","962c8ca60dc995aeb74b705d22433250b32a24b56a063db54f5707b154cf5c11","VERIFIED; PHYSICALLY IN CANONICAL DRIVE"
"2026-07-31","БАПТИСТ","1909","13","Баптист 1909 №13.pdf","1Ig-l1n7VbI4AWDZdl6B74HJ9Izv0xjMi","10397972","24","b628503bc9dcf727062db42720667ddd195838646195e92060e3dbe7baf7f291","VERIFIED; PHYSICALLY IN CANONICAL DRIVE"
