id,corpus,disposition,researchStatus,targetRepository,targetPageType,targetRouteState,targetPublicRoutes,targetRoutePrefixes,targetClaimIds,alreadyPublic,publicWordingFidelity,holds,rightsLedgerIds,separateMediaLaneRequired,nextAction,forbiddenPromotion,sourceAuthorities
heart-series-source-closure,СЕРИЯ СЕРДЦЕ,REFERENCE,EVIDENCE_CLOSED_85_SOURCES_18_CLAIMS,FedorMilovanov/gb-is-my-strength,article-series,EXISTING_PRODUCTION_DIST_ROUTE_SET,/articles/chto-bibliya-nazyvaet-serdcem/ | /articles/kak-hranit-serdce/ | /articles/kak-menyaetsya-serdce/ | /articles/krajne-li-isporcheno-serdce/ | /articles/myslennaya-zhizn-serdca/ | /articles/novoe-serdce/ | /articles/osvobozhdennoe-serdce/ | /articles/religioznoe-serdce/ | /articles/serdce-hrista-k-nemoshchnym/ | /articles/serdce-i-duh/ | /articles/serdce-i-iskushenie/ | /articles/serdce-i-sokrovishche/ | /articles/serdce-i-telo/ | /articles/serdce-i-yazyk/ | /articles/serdce-ne-v-odinochku/ | /articles/serdce-pod-skorbyu/ | /articles/serdce-spravochnik/ | /articles/skrytye-idoly-serdca/ | /articles/sovest-vnutrenniy-sud/ | /articles/starye-dorozhki-serdca/ | /articles/tma-na-serdce/,,R1 | R2 | R3 | R4 | R5 | R6 | R7a | R7b | R8 | R9 | 18-disputed-claim-registry,true,PARTIAL_REVERIFY_REQUIRED,PUBLICATION_HOLD,,false,Compare the post-PR79 claim decisions against the current article text; change only bounded claim sections in a separately owned product PR.,Do not treat all 85 sources or all 18 claims as quote-safe; only nine claims are quote-safe in the governing registry.,СЕРИЯ СЕРДЦЕ/00_CURRENT_AUTHORITY_2026-08-01.md | СЕРИЯ СЕРДЦЕ/74_SOURCE_CLOSURE_REGISTRY_2026-08-01.json
osk-power-dark-side-standalone,ОБРАТНАЯ СТОРОНА КАФЕДРЫ,BLOCKED,WAVES_1_TO_4_CLOSED_WAVE5_AND_SITE_TRANSFER_ACTIVE,FedorMilovanov/gb-is-my-strength,article-and-future-series,ONE_EXISTING_ROUTE_PLUS_UNASSIGNED_DARK_SIDE_AND_STANDALONE_ROUTES,/articles/20-antisovetov-pastoru/,,33-case-routing | 21-core | 1-conditional | 7-dark-side | 3-standalone | 1-hold,true,NOT_VERIFIED_AGAINST_238_SOURCE_AUTHORITY,EVIDENCE_HOLD | PUBLICATION_HOLD,,true,"Finish Wave 5 blocked-case decision, then create a legal/editorial site-transfer ledger mapping each bounded case claim to a route and paragraph.","Do not turn allegations, settlements, dismissals, denials, scientific findings or institutional actions into interchangeable findings of guilt.",00_RESEARCH_CURRENT_AUTHORITY_2026-08-01.md | data/osk-case-routing-registry-2026-08-01.json | ОБРАТНАЯ СТОРОНА КАФЕДРЫ СЕРИЯ/38_WAVE4_STANDALONE_PASTORAL_CARE_LEGAL_2026-08-01.md
bratsky-listok-1906-1910,Братский листок 1906–1910,BLOCKED,RESEARCH_PACKAGE_READY_SITE_PUBLICATION_FALSE,FedorMilovanov/gb-is-my-strength,history-series-and-source-cards,EXISTING_ROUTE_CANDIDATES_NO_APPROVED_CLAIM_MAP,/baptisty-rossii/ | /baptisty-rossii/podpolnaya-pechat/,/baptisty-rossii/,22-semantic-issue-positions | 17-full-maps | 1-truncated-fragment | 4-targeted-maps,true,NOT_VERIFIED_AT_ISSUE_PAGE_LEVEL,ARCHIVE_HOLD | LOCATOR_HOLD | RIGHTS_HOLD | PUBLICATION_HOLD,DRV-BRATSKY-REGISTER,true,"Select one bounded thesis, pin the Research manifest digest, resolve every quotation to a page image, and disclose the eight unknown issues.",Do not claim the complete run was examined or that page maps alone make wording quote-ready.,RUSSIAN_BAPTISTS_ARCHIVE/BRATSKY_LISTOK_PUBLICATION_AUTHORITY_2026-08-01.md | data/bratsky-listok-publication-ledger.json
baptist-archive-v156,БАПТИСТЫ РОССИИ / grouped archive,BLOCKED,ACTIVE_MICROBATCH_V156,FedorMilovanov/gb-is-my-strength,history-series,EXISTING_PRODUCTION_DIST_SERIES,/baptisty-rossii/ | /baptisty-rossii/dva-sezda-1884/ | /baptisty-rossii/goneniya-i-sovest/ | /baptisty-rossii/iniciativnaya-gruppa/ | /baptisty-rossii/noch-na-kure/ | /baptisty-rossii/peterburgskaya-liniya/ | /baptisty-rossii/podpolnaya-pechat/ | /baptisty-rossii/sovetskaya-noch/ | /baptisty-rossii/spravochnik/ | /baptisty-rossii/vsehib-1944/ | /baptisty-rossii/yuzhnaya-shtunda/,/baptisty-rossii/,NEXT_MICROBATCH-v156 | Bratskii-Listok-1965-1986 | Mazaev-source-chain | unity-primary-documents-1909-1917,true,MIXED_EXISTING_TEXT_NOT_CLEARED_BY_MICROBATCH,ARCHIVE_HOLD | LOCATOR_HOLD | RIGHTS_HOLD | PUBLICATION_HOLD,DRV-BAPTIST-ARCHIVE,true,"Acquire scans, perform OCR plus visual verification, and map verified page claims to individual existing Baptist routes.","Holdings, finding aids, snippets and page-count metadata do not prove article-ready content or quotation rights.",00_RESEARCH_CURRENT_AUTHORITY_2026-08-01.md | БАПТИСТЫ РОССИИ/baptists_v120_TRUE_GROUPED/data/NEXT_MICROBATCH.csv
genesis6-enoch-hard-texts,Genesis 6 / Enoch extension,REFERENCE,NAMED_RESEARCH_BLOCKERS_CLOSED_PUBLICATION_HOLD,FedorMilovanov/gb-is-my-strength,hard-text-article,EXISTING_HARD_TEXT_SERIES,/hard-texts/angely-pod-mrakom-iuda-6-7-2-petra-2/,/hard-texts/,genesis6-authority | genesis6-enoch-extension,true,REVERIFY_REQUIRED,PUBLICATION_HOLD,,false,Compare current hard-text wording and locators to the two manifests before any editorial change.,Research closure does not itself approve a reader-facing wording or deployment.,00_RESEARCH_CURRENT_AUTHORITY_2026-08-01.md | data/genesis6-authority-manifest.json | data/genesis6-enoch-extension-authority-manifest.json
gill-archive-families,John Gill closed-book/archive families,BLOCKED,ACTIVE_ARCHIVE_FAMILIES_AFTER_PUBLIC_SUITE,FedorMilovanov/gb-is-my-strength,biographical-reference-series,EXISTING_PUBLIC_SUITE_WITH_SEPARATE_ARCHIVE_BACKLOG,/articles/dzhon-gill-chast-1-chelovek/ | /articles/dzhon-gill-chast-2-uchenyi/ | /articles/dzhon-gill-chast-3-nasledie/ | /articles/dzhon-gill-chast-4-ekzeget/ | /articles/dzhon-gill-istoricheskiy-kontekst/ | /articles/dzhon-gill-spravochnik/,/articles/dzhon-gill-,Gill-navigation-volumes-70-74 | closed-book-families,true,PUBLIC_SUITE_EXISTS_ARCHIVE_DELTA_UNMAPPED,ARCHIVE_HOLD | LOCATOR_HOLD | RIGHTS_HOLD | PUBLICATION_HOLD,DRV-GILL-ARCHIVE,true,"Identify the canonical physical package, map each closed-book family to the Gill witness registry, then open only claim-bounded follow-ups.","Do not infer provenance or rights from a bibliography, title, OCR fragment or Drive search miss.",00_RESEARCH_CURRENT_AUTHORITY_2026-08-01.md
biblical-atlas-primary-strengthening,БИБЛЕЙСКИЙ АТЛАС,BLOCKED,ACTIVE_PIHAHIROTH_SEA_CROSSING_AND_PRIMARY_SOURCE_STRENGTHENING,FedorMilovanov/gb-is-my-strength,interactive-map-and-dossier,EXISTING_MAP_HUB_AND_NATIVE_ROUTES,/karty/ | /karty/avraam/ | /karty/ishod/,/karty/,Pihahiroth | sea-crossing | primary-source-strengthening,true,NOT_VERIFIED_FOR_ACTIVE_DOSSIERS,EVIDENCE_HOLD | LOCATOR_HOLD | RIGHTS_HOLD | PUBLICATION_HOLD,DRV-BIBLICAL-ATLAS,true,Pin exact primary locators and map/base-image rights before changing map claims or assets.,A map geometry or working dossier does not establish historical location certainty or image reuse rights.,00_RESEARCH_CURRENT_AUTHORITY_2026-08-01.md | БИБЛЕЙСКИЙ АТЛАС/README.md
source-library-ephemera-63,Source Library approved ephemera 63,BLOCKED,PRIVATE_ARCHIVE_ACQUIRED_63_OF_63,FedorMilovanov/gb-is-my-strength,media-asset-lane,NO_ASSIGNED_PRODUCT_ROUTE,,,63-item-allowlist,false,NOT_APPLICABLE,RIGHTS_HOLD | PUBLICATION_HOLD,DRV-EPHEMERA-63,true,Create item-level provenance and credit records only when a route owner selects a specific image.,Archive approval is not production approval; embedded and institutional reproductions require separate review.,SOURCE_LIBRARY/processed/APPROVED_EPHEMERA_63_ALLOWLIST_2026-07-30.md
source-library-editorial-40-pdf,Source Library second editorial 40-PDF archive,REFERENCE,SEPARATE_RESEARCH_CORPUS,FedorMilovanov/Research,research-reference-corpus,RESEARCH_REFERENCE_NO_DIRECT_PUBLIC_ROUTE,,,second-editorial-40-pdf,false,NOT_APPLICABLE,RIGHTS_HOLD,DRV-EDITORIAL-40,true,Use as source navigation; create a separate bounded claim or media lane before any public use.,Open PDF acquisition does not automatically clear embedded illustrations or every edition for production.,SOURCE_LIBRARY/SECOND_EDITORIAL_40_PDF_PASS_2026-07-30.md
source-library-poet-portraits-45,Source Library approved core poet portraits 45,BLOCKED,REVIEW_ALLOWLIST_READY_ORIGINALS_ARCHIVED,OUTSIDE_CURRENT_PRODUCT_SCOPE,portrait-media-lane,NO_ROUTE_IN_GB_PRODUCT,,,45-item-core-poet-allowlist,false,NOT_APPLICABLE,RIGHTS_HOLD | PUBLICATION_HOLD,DRV-POET-PORTRAITS-45,true,Route through a separately owned poet-site media lane with human identity and item-level rights verification.,Automated discovery and archive allowlisting do not identify a person or authorize public use.,SOURCE_LIBRARY/POET_PORTRAIT_REVIEW_WORKFLOW_2026-07-30.md | SOURCE_LIBRARY/processed/APPROVED_CORE_POET_PORTRAITS_45_ALLOWLIST_2026-07-30.md
