item_id,corpus,issue,status,pages,holding,source,next_action,id,year,source_url,verification_note,version
vestnik_istiny_1976_02_54,Vestnik Istiny,1976 no. 2 (54),holdings_page_verified,40,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,,,,
vestnik_istiny_1977_02_03_58_59,Vestnik Istiny,1977 no. 2-3 (58-59),holdings_page_verified,60,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,,,,
vestnik_istiny_1978_02_03_62_63,Vestnik Istiny,1978 no. 2-3 (62-63),holdings_page_verified_with_copy_variant,56 plus no-page copy row,Baylor/Keston,Toronto Samizdat,Clarify copy variant; acquire scan,,,,,
vestnik_istiny_1978_01,Vestnik Istiny,1978 no. 1,item_designation_verified,,,Toronto Samizdat item card,Find holding/page-count; acquire scan,,,,,
vestnik_spaseniia_corpus_late_grid,Vestnik Spaseniia,1963-1975 corpus; late issue grid includes 1974/1975 combined issues,corpus_issue_grid_verified,ca. 14-70 per corpus note,OSA reported copies for selected issues,Toronto Samizdat master corpus page,Open item pages for 1975 1-2 and 3-4; acquire scans,,,,,
biulleten_sru_1985_126,Biulleten SRY,1985 no. 126,holdings_page_verified,66,Belousovitch Collection,Toronto Samizdat,Acquire local scan/OCR/visual check,,,,,
biulleten_sru_1985_127,Biulleten SRY,1985 no. 127,holdings_page_verified,75,Belousovitch Collection,Toronto Samizdat,Acquire local scan/OCR/visual check,,,,,
biulleten_sru_1985_128_129,Biulleten SRY,1985 no. 128/129,not_found_in_current_toronto_grid,,,Toronto master-grid current pass,Search alternative catalog/URL patterns; do not infer absence,,,,,
brat_1970_11,BRATSKII LISTOK,1970 no. 11,item_designation_verified,,,Toronto Samizdat item card,Find holding/page-count or mark BRAT-only,,,,,
brat_1970_12,BRATSKII LISTOK,1970 no. 12,item_designation_verified,,,Toronto Samizdat item card,Find holding/page-count or mark BRAT-only,,,,,
brat_1971_grid,BRATSKII LISTOK,1971 no. 1; 2-3; 5-6; 7-8; 9-10; 11-12,issue_grid_with_source_notes_verified,,AS/SDSA/MASA source notes for selected 1971 issues,Toronto Samizdat master grid,Open individual item cards; page/holding verification,,,,,
baptist_1909_05,Baptist,1909 no. 5,file_metadata_verified,23,RSEHB PDF endpoint,RSEHB PDF,Local download/OCR/visual title-page check,,,,,
vestnik_spaseniia_1975_01_02_49_50,Vestnik Spaseniia,1975 no. 1-2 (49-50),holdings_page_verified,32,Baylor/Keston; Western reproduction; photocopy of hectograph manuscript,Toronto Samizdat item card,Acquire local scan/OCR/visual title-page check,,,,,
vestnik_spaseniia_1975_03_04_51_52,Vestnik Spaseniia,1975 no. 3-4 (51-52),holdings_page_verified,35,Baylor/Keston; Western reproduction; photocopy of hectograph manuscript,Toronto Samizdat item card,Acquire local scan/OCR/visual title-page check,,,,,
biulleten_sru_1975_21_22,Biulleten SRY,1975 no. 21-22,holdings_page_verified_with_variant,70 item field; 51 copy-row,Baylor/Keston; hectograph of manuscript,Toronto Samizdat item card,Clarify page discrepancy; acquire scan/OCR,,,,,
biulleten_sru_1975_24_25,Biulleten SRY,1975 no. 24-25,holdings_page_verified,81,Baylor/Keston; hectograph of manuscript,Toronto Samizdat item card,Acquire local scan/OCR/visual title-page check,,,,,
vestnik_spaseniia_1964_01,Vestnik Spaseniia,1964 no. 1,holdings_page_verified,47,Baylor/Keston; Western reproduction; photocopy of manuscript,Toronto Samizdat item card,Acquire local scan/OCR/visual title-page check,,,,,
vestnik_spaseniia_1972_01_37,Vestnik Spaseniia,1972 no. 1 (37),holdings_page_verified,38,Baylor/Keston; Western reproduction; photocopy of hectograph manuscript,Toronto Samizdat item card,Acquire local scan/OCR/visual title-page check,,,,,
vestnik_spaseniia_1974_01_02_45_46,Vestnik Spaseniia,1974 no. 1-2 (45-46),holdings_page_verified,42,Baylor/Keston; samizdat; hectograph of manuscript,Toronto Samizdat item card,Acquire local scan/OCR/visual title-page check,,,,,
biulleten_sru_1972_06,Biulleten SRY,1972 no. 6,holdings_page_verified,6,Baylor/Keston; second AS 1117 copy row without page-count,Toronto Samizdat item card,Acquire local scan/OCR; note AS 1117 variant,,,,,
